| Hex| Dec | Original Mnemonic   | ttydasm Mnemonic       | Summary
+----+-----+---------------------+------------------------+-------------------------------------
| 00 |   0 |                     |                        | Internal - fetch next instruction
| 01 |   1 |                     | end                    | Script End
| 02 |   2 | end_evt             | return                 | Return
| 03 |   3 | lbl                 | <label number>:        | NOP in execution, defines label during script context initialization (1 parm which is the label ID)
| 04 |   4 | goto                | goto                   | goto label or address
| 05 |   5 | do                  | loop                   | Begin Loop
| 06 |   6 | while               | end_loop               | Loop stack iterate
| 07 |   7 | do_break            | loop_break             | break; from loop
| 08 |   8 | do_continue         | loop_continue          | continue; from loop
| 09 |   9 | wait_frm            | wait_frames            | Wait for frames
| 0A |  10 | wait_msec           | wait_ms                | Wait for ms
| 0B |  11 | halt                | wait_until             | Wait until expr is false
| 0C |  12 | if_str_equal        | if_string_eq           | if parm strings equal
| 0D |  13 | if_str_not_equal    | if_string_ne           | if parm strings not equal
| 0E |  14 | if_str_small        | if_string_lt           | if parm strings lt
| 0F |  15 | if_str_large        | if_string_gt           | if parm strings gt
| 10 |  16 | if_str_small_equal  | if_string_le           | if parm strings le
| 11 |  17 | if_str_large_equal  | if_string_ge           | if parm strings ge
| 12 |  18 | iff_equal           | if_float_eq            | if parm floats eq
| 13 |  19 | iff_not_equal       | if_float_ne            | if parm floats ne
| 14 |  20 | iff_small           | if_float_lt            | if parm floats lt
| 15 |  21 | iff_large           | if_float_gt            | if parm floats gt
| 16 |  22 | iff_small_equal     | if_float_le            | if parm floats le
| 17 |  23 | iff_large_equal     | if_float_ge            | if parm floats ge
| 18 |  24 | if_equal            | if_int_eq              | if parm ints eq
| 19 |  25 | if_not_equal        | if_int_ne              | if parm ints ne
| 1A |  26 | if_small            | if_int_lt              | if parm ints lt
| 1B |  27 | if_large            | if_int_gt              | if parm ints gt
| 1C |  28 | if_small_equal      | if_int_le              | if parm ints le
| 1D |  29 | if_large_equal      | if_int_ge              | if parm ints ge
| 1E |  30 | if_flag             | if_bits_set            | if parm int AND with raw is nonzero
| 1F |  31 | if_not_flag         | if_bits_clear          | if parm int AND with raw is zero
| 20 |  32 | else                | else                   | else
| 21 |  33 | end_if              | endif                  | endif
| 22 |  34 | switch              | switchi                | switch expression
| 23 |  35 | switchi             | switchr                | switch raw	? looks broken, not accounted for in other switch functions and not used by the game. dont use.
| 24 |  36 | case_equal          | case_int_eq            | case var equal to int
| 25 |  37 | case_not_equal      | case_int_ne            | case var not equal to int
| 26 |  38 | case_small          | case_int_lt            | case var less than int
| 27 |  39 | case_large          | case_int_gt            | case var greater than int
| 28 |  40 | case_small_equal    | case_int_le            | case var less equal than int
| 29 |  41 | case_large_equal    | case_int_ge            | case var greater equal int
| 2A |  42 | case_etc            | case_default           | case default
| 2B |  43 | case_or             | case_int_eq_any        | case eq combo (one condition must be met)
| 2C |  44 | case_and            | case_int_ne_all        | case ne combo (all conditions must be met)
| 2D |  45 | case_flag           | case_bits_set          | case and with binary mask
| 2E |  46 | case_end            | end_multi_case         | break from case combo
| 2F |  47 | case_between        | case_int_range         | case range a to b inclusive
| 30 |  48 | switch_break        | switch_break           | break from switch
| 31 |  49 | end_switch          | end_switch             | end switch
| 32 |  50 | set                 | setii                  | set int expr to int expr
| 33 |  51 | seti                | setir                  | set int expr to raw
| 34 |  52 | setf                | setff                  | set float expr to float expr
| 35 |  53 | add                 | addi                   | add parm ints, save in first parm
| 36 |  54 | sub                 | subi                   | sub parm ints, save in first parm
| 37 |  55 | mul                 | muli                   | mul parm ints, save in first parm
| 38 |  56 | div                 | divi                   | div parm ints, save in first parm
| 39 |  57 | mod                 | modi                   | modulus, save in first parm
| 3A |  58 | addf                | addf                   | add parm floats, save in first parm
| 3B |  59 | subf                | subf                   | sub parm floats, save in first parm
| 3C |  60 | mulf                | mulf                   | mul parm floats, save in first parm
| 3D |  61 | divf                | divf                   | div parm floats, save in first parm
| 3E |  62 | set_read            | mo_set_base_int        | set struc op base
| 3F |  63 | read                | mo_read_int            | load int from struc op and advance
| 40 |  64 | read2               | mo_read_int2           | load int vec2 from struc op and advance
| 41 |  65 | read3               | mo_read_int3           | load int vec3 from struc op and advance
| 42 |  66 | read4               | mo_read_int4           | load int vec4 from struc op and advance
| 43 |  67 | read_n              | mo_read_int_indexed    | load indexed int from struc op
| 44 |  68 | set_readf           | mo_set_base_float      | same as 3E, set struc op base
| 45 |  69 | readf               | mo_read_float          | load float from struc op and advance
| 46 |  70 | readf2              | mo_read_float2         | load float vec2 from struc op to exprs and advance
| 47 |  71 | readf3              | mo_read_float3         | load float vec3 from struc op to exprs and advance
| 48 |  72 | readf4              | mo_read_float4         | load float vec4 from struc op to exprs and advance
| 49 |  73 | readf_n             | mo_read_float_indexed  | load indexed float from struc op
| 4A |  74 | set_user_wrk        | set_uw_base            | set user word base (UW)
| 4B |  75 | set_user_flg        | set_uf_base            | set user flag base (UF)
| 4C |  76 | alloc_user_wrk      | alloc_uw               | allocate to UW base
| 4D |  77 | and                 | andi                   | binary and expr
| 4E |  78 | andi                | andr                   | binary and raw
| 4F |  79 | or                  | ori                    | binary or expr
| 50 |  80 | ori                 | orr                    | binary or raw
| 51 |  81 | set_frame_from_msec | cvt_ms_f               | convert ms to frame count (fast multiply by 60/1000)
